,cm_TN,cm_TP,cm_FN,cm_FP,pr,rec,acc,thres
8768,45015,940,289,63601,0.01456438542941696,0.7648494711147275,0.4183622376985753,0.04843089
8769,45012,940,289,63604,0.014563708477937531,0.7648494711147275,0.41833492648732307,0.04843059
8770,45010,941,288,63606,0.014578524176181697,0.7656631407648494,0.418325822750239,0.048430353
8771,45001,941,288,63615,0.014576491728112026,0.7656631407648494,0.4182438891164823,0.04842937
8772,44995,941,288,63621,0.01457513707753787,0.7656631407648494,0.4181892666939779,0.048428804
8773,44993,941,288,63623,0.014574685583297194,0.7656631407648494,0.41817105921980974,0.048428506
8774,44990,941,288,63626,0.01457400839438103,0.7656631407648494,0.4181437480085575,0.048428416
8775,44976,941,288,63640,0.014570849011319118,0.7656631407648494,0.4180162956893805,0.048427254
8776,44974,941,288,63642,0.014570397782698233,0.7656631407648494,0.41799808821521234,0.048427105
8777,44971,941,288,63645,0.014569720992165485,0.7656631407648494,0.4179707770039601,0.048426867
8778,44968,941,288,63648,0.014569044264503244,0.7656631407648494,0.4179434657927079,0.048426807
8779,44966,941,288,63650,0.01456859314765215,0.7656631407648494,0.41792525831853977,0.048426747
8780,44962,941,288,63654,0.014567690997755244,0.7656631407648494,0.4178888433702035,0.04842636
8781,44959,941,288,63657,0.01456701445865197,0.7656631407648494,0.4178615321589513,0.04842633
8782,44957,941,288,63659,0.01456656346749226,0.7656631407648494,0.4178433246847831,0.04842612
8783,44954,941,288,63662,0.014565887033109917,0.7656631407648494,0.41781601347353087,0.048426032
8784,44952,941,288,63664,0.014565436111756057,0.7656631407648494,0.4177978059993627,0.048425704
8785,44950,941,288,63666,0.014564985218319997,0.7656631407648494,0.4177795985251946,0.048425585
8786,44944,941,288,63672,0.014563632705492702,0.7656631407648494,0.41772497610269016,0.048425168
8787,44942,941,288,63674,0.014563181923701927,0.7656631407648494,0.417706768628522,0.04842511
8788,44939,941,288,63677,0.014562505803336531,0.7656631407648494,0.4176794574172698,0.04842505
8789,44938,941,288,63678,0.01456228044383231,0.7656631407648494,0.41767035368018574,0.04842502
8790,44936,941,288,63680,0.014561829745748286,0.7656631407648494,0.4176521462060176,0.04842499
8791,44933,941,288,63683,0.014561153750928448,0.7656631407648494,0.4176248349947653,0.04842457
8792,44929,941,288,63687,0.014560252522126633,0.7656631407648494,0.41758842004642904,0.048424453
8793,44927,941,288,63689,0.014559801949559028,0.7656631407648494,0.4175702125722609,0.048424393
8794,44925,941,288,63691,0.014559351404876842,0.7656631407648494,0.41755200509809276,0.048424304
8795,44919,941,288,63697,0.014557999938116897,0.7656631407648494,0.41749738267558834,0.048423827
8796,44917,941,288,63699,0.014557549504950496,0.7656631407648494,0.4174791752014202,0.048423678
8797,44914,941,288,63702,0.014556873907460978,0.7656631407648494,0.417451863990168,0.0484235
8798,44912,941,288,63704,0.014556423543970918,0.7656631407648494,0.41743365651599984,0.04842329
8799,44910,941,288,63706,0.014555973208346869,0.7656631407648494,0.4174154490418317,0.04842317
8800,44908,941,288,63708,0.014555522900586242,0.7656631407648494,0.4173972415676635,0.048422903
8801,44899,941,288,63717,0.014553496860403971,0.7656631407648494,0.41731530793390686,0.048422128
8802,44897,941,288,63719,0.014553046705845963,0.7656631407648494,0.4172971004597387,0.04842195
8803,44893,941,288,63723,0.014552146480267227,0.7656631407648494,0.41726068551140244,0.048421383
8804,44889,941,288,63727,0.014551246366054309,0.7656631407648494,0.41722427056306616,0.048420995
8805,44886,941,288,63730,0.014550571353466005,0.7656631407648494,0.41719695935181395,0.048420936
8806,44877,941,288,63739,0.014548546691403834,0.7656631407648494,0.41711502571805725,0.04842034
8807,44873,941,288,63743,0.014547647022447591,0.7656631407648494,0.41707861076972097,0.04842013
8808,44867,941,288,63749,0.014546297727624053,0.7656631407648494,0.41702398834721655,0.048419684
8809,44864,941,288,63752,0.014545623174068292,0.7656631407648494,0.41699667713596433,0.048419595
8810,44859,941,288,63757,0.014544499057157871,0.7656631407648494,0.4169511584505439,0.04841903
8811,44856,941,288,63760,0.014543824670406949,0.7656631407648494,0.4169238472392917,0.048419
8812,44854,941,288,63762,0.01454337511398235,0.7656631407648494,0.41690563976512357,0.04841891
8813,44853,941,288,63763,0.014543150346191889,0.7656631407648494,0.4168965360280395,0.04841879
8814,44851,941,288,63765,0.014542700831453034,0.7656631407648494,0.41687832855387136,0.04841861
8815,44849,941,288,63767,0.014542251344501453,0.7656631407648494,0.4168601210797032,0.048418462
8816,44845,941,288,63771,0.014541352453949809,0.7656631407648494,0.41682370613136693,0.048418343
8817,44843,941,288,63773,0.014540903050344594,0.7656631407648494,0.4168054986571988,0.048418313
8818,44841,941,288,63775,0.014540453674516349,0.7656631407648494,0.41678729118303065,0.048417866
8819,44839,941,288,63777,0.014540004326462498,0.7656631407648494,0.4167690837088625,0.048417777
8820,44837,941,288,63779,0.01453955500618047,0.7656631407648494,0.41675087623469437,0.048417628
8821,44835,941,288,63781,0.014539105713667686,0.7656631407648494,0.41673266876052617,0.04841736
8822,44827,941,288,63789,0.014537308821257531,0.7656631407648494,0.4166598388638536,0.048416615
8823,44825,941,288,63791,0.01453685966755237,0.7656631407648494,0.41664163138968546,0.048416555
8824,44824,941,288,63792,0.014536635101107627,0.7656631407648494,0.4166325276526014,0.048416436
8825,44822,941,288,63794,0.014536185989032209,0.7656631407648494,0.41661432017843325,0.048416406
8826,44818,941,288,63798,0.01453528784812864,0.7656631407648494,0.41657790523009697,0.04841587
8827,44816,941,288,63800,0.014534838819295346,0.7656631407648494,0.4165596977559288,0.04841566
8828,44815,941,288,63801,0.014534614315282197,0.7656631407648494,0.41655059401884476,0.04841557
8829,44813,941,288,63803,0.014534165328061288,0.7656631407648494,0.4165323865446766,0.048415452
8830,44812,941,288,63804,0.014533940844852884,0.7656631407648494,0.41652328280759254,0.048415333
8831,44810,941,288,63806,0.014533491899238575,0.7656631407648494,0.41650507533342435,0.048415273
8832,44807,941,288,63809,0.014532818532818534,0.7656631407648494,0.41647776412217213,0.048414886
